Subject,Question,Marks,Year,Topic
Data Structures,Explain the concept of AVL Trees and perform rotations for the sequence 10-20-30.,10,2022,AVL Trees
Data Structures,What is the time complexity of Quick Sort in best and worst case?,2,2022,Sorting
Data Structures,Define a Binary Search Tree. Insert the keys 50 30 70 20 40 60 80 into an empty BST and draw the final tree.,10,2023,Binary Search Trees
Data Structures,What is the difference between a Stack and a Queue?,2,2023,Linear Data Structures
Data Structures,Explain Kruskal's algorithm for finding the Minimum Spanning Tree with an example graph of 5 vertices.,15,2022,Graph Algorithms
Data Structures,Write the algorithm for BFS traversal of a graph. What is its time complexity?,5,2021,Graph Traversal
Data Structures,Define Big O notation. Give the time complexity of binary search.,2,2021,Algorithm Analysis
Data Structures,Explain the concept of hashing. Discuss collision resolution techniques with examples.,10,2023,Hashing
Data Structures,Compare and contrast DFS and BFS traversal techniques.,5,2022,Graph Traversal
Data Structures,Implement a circular queue using arrays. Show enqueue and dequeue operations.,10,2021,Queue
Data Structures,What is a priority queue? How is it implemented using a heap?,5,2023,Heap
Data Structures,Explain Dijkstra's shortest path algorithm with a suitable example.,10,2022,Graph Algorithms
Data Structures,What is the difference between singly linked list and doubly linked list?,2,2021,Linked Lists
Data Structures,Write the algorithm for infix to postfix conversion using stack.,10,2023,Stack Applications
Data Structures,Explain the merge sort algorithm. Derive its time complexity.,10,2021,Sorting
Data Structures,What is a Red-Black Tree? State its properties.,5,2022,Balanced Trees
Data Structures,Define Dynamic Programming. Solve the 0/1 Knapsack problem for given weights and values.,15,2023,Dynamic Programming
Data Structures,Write short notes on B-Trees and their applications in database indexing.,5,2021,Trees
Microprocessors,Explain the architecture of 8086 microprocessor with a neat block diagram.,15,2021,8086 Architecture
Microprocessors,Define T-state and Machine Cycle.,2,2021,Timing Diagram
Microprocessors,Describe the flag register of 8086 microprocessor.,5,2022,8086 Architecture
Microprocessors,What is the difference between minimum mode and maximum mode of 8086?,5,2021,8086 Modes
Microprocessors,Explain the concept of memory segmentation in 8086. Calculate physical address from segment and offset.,10,2022,Memory Organization
Microprocessors,Write an assembly language program to add two 16-bit numbers.,10,2023,Assembly Programming
Microprocessors,Describe the interrupt structure of 8086 microprocessor.,10,2021,Interrupts
Microprocessors,Explain the architecture of 8051 microcontroller with a block diagram.,15,2022,8051 Architecture
Microprocessors,What are the addressing modes of 8086? Give examples of each.,10,2023,Addressing Modes
Microprocessors,Write a program in 8086 assembly to find the largest number in an array.,10,2021,Assembly Programming
Microprocessors,Explain DMA and its significance in data transfer.,5,2022,DMA
Microprocessors,Describe the Pin diagram of 8086 microprocessor.,10,2023,8086 Architecture
Microprocessors,What is the role of ALE signal in 8086?,2,2021,8086 Signals
Microprocessors,Explain the instruction set of 8051 with examples for each category.,15,2022,8051 Instructions
Microprocessors,What is pipelining? Explain instruction pipeline in 8086.,5,2023,Pipelining
Microprocessors,Compare RISC and CISC architectures with examples.,5,2021,Architecture Comparison
Microprocessors,Write a subroutine in 8086 assembly to reverse a string stored in memory.,10,2023,Assembly Programming
Operating Systems,Discuss the Banker's Algorithm for deadlock avoidance with a numerical example.,10,2023,Deadlocks
Operating Systems,What is the difference between a process and a thread?,2,2023,Process Management
Operating Systems,Explain the different CPU scheduling algorithms: FCFS SJF and Round Robin.,15,2022,CPU Scheduling
Operating Systems,What is a semaphore? Explain its use in solving the Producer-Consumer problem.,10,2021,Synchronization
Operating Systems,Describe the concept of virtual memory. Explain demand paging.,10,2023,Memory Management
Operating Systems,What is a page fault? How does the OS handle it?,5,2022,Memory Management
Operating Systems,Explain the different disk scheduling algorithms: FCFS SSTF and SCAN.,10,2021,Disk Scheduling
Operating Systems,What are the necessary conditions for deadlock? Explain deadlock detection.,10,2022,Deadlocks
Operating Systems,Describe the different types of operating systems with examples.,5,2023,OS Types
Operating Systems,Explain the concept of paging and segmentation. Compare them.,10,2021,Memory Management
Operating Systems,What is process synchronization? Explain the critical section problem.,10,2022,Synchronization
Operating Systems,Write short notes on the dining philosophers problem.,5,2023,Synchronization
Operating Systems,Explain the file allocation methods: contiguous linked and indexed.,10,2021,File Systems
